.threshold,specificity,sensitivity,model
-Inf,0,1,Decision Tree
0.13043478260869565,0,1,Decision Tree
0.14285714285714285,0.02341137123745818,0.9987893462469734,Decision Tree
0.18095238095238095,0.03344481605351168,0.9975786924939467,Decision Tree
0.1818181818181818,0.1505016722408027,0.986682808716707,Decision Tree
0.2352941176470588,0.21739130434782605,0.9721549636803875,Decision Tree
0.2549019607843137,0.22742474916387956,0.9685230024213075,Decision Tree
0.2727272727272727,0.26086956521739135,0.9588377723970944,Decision Tree
0.27586206896551724,0.28428093645484953,0.9539951573849879,Decision Tree
0.2797202797202797,0.29096989966555187,0.9515738498789347,Decision Tree
0.2962962962962963,0.3812709030100334,0.9346246973365617,Decision Tree
0.3,0.3913043478260869,0.9334140435835351,Decision Tree
0.30769230769230765,0.3946488294314381,0.9322033898305084,Decision Tree
0.3684210526315789,0.4280936454849499,0.9213075060532687,Decision Tree
0.4,0.4448160535117057,0.9079903147699758,Decision Tree
0.4193548387096775,0.45150501672240806,0.8995157384987893,Decision Tree
0.44,0.46488294314381273,0.8922518159806295,Decision Tree
0.4516129032258065,0.47157190635451507,0.887409200968523,Decision Tree
0.4642857142857143,0.4782608695652174,0.8825665859564165,Decision Tree
0.46875,0.49498327759197325,0.8753026634382567,Decision Tree
0.4722222222222222,0.5083612040133779,0.87409200968523,Decision Tree
0.4871794871794873,0.5083612040133779,0.8680387409200968,Decision Tree
0.5,0.5150501672240803,0.8583535108958837,Decision Tree
0.5238095238095238,0.5284280936454849,0.8523002421307506,Decision Tree
0.5294117647058824,0.5418060200668897,0.847457627118644,Decision Tree
0.5333333333333333,0.548494983277592,0.8462469733656174,Decision Tree
0.5384615384615385,0.5585284280936456,0.8462469733656174,Decision Tree
0.5757575757575758,0.5652173913043479,0.8450363196125908,Decision Tree
0.59375,0.5785953177257526,0.8426150121065376,Decision Tree
0.625,0.5886287625418061,0.8341404358353511,Decision Tree
0.6333333333333334,0.5986622073578596,0.8305084745762712,Decision Tree
0.6428571428571429,0.6254180602006689,0.8196125907990315,Decision Tree
0.6666666666666667,0.6454849498327759,0.8038740920096852,Decision Tree
0.7000000000000001,0.6588628762541806,0.7978208232445521,Decision Tree
0.7027027027027027,0.6688963210702341,0.7953995157384988,Decision Tree
0.7083333333333333,0.6822742474916388,0.7857142857142857,Decision Tree
0.7500000000000001,0.6956521739130435,0.7832929782082324,Decision Tree
0.7575757575757576,0.6989966555183946,0.7820823244552058,Decision Tree
0.7692307692307693,0.7157190635451505,0.7590799031476998,Decision Tree
0.7777777777777778,0.7157190635451505,0.7566585956416465,Decision Tree
0.7857142857142856,0.7224080267558528,0.7493946731234867,Decision Tree
0.7874015748031495,0.725752508361204,0.7469733656174334,Decision Tree
0.7999999999999999,0.7424749163879598,0.7130750605326877,Decision Tree
0.8,0.7491638795986622,0.7130750605326877,Decision Tree
0.8125,0.7558528428093645,0.7094430992736077,Decision Tree
0.8170731707317073,0.7558528428093645,0.7046004842615012,Decision Tree
0.8235294117647058,0.7725752508361204,0.6876513317191283,Decision Tree
0.8260869565217391,0.7759197324414716,0.6864406779661016,Decision Tree
0.8461538461538461,0.7759197324414716,0.6779661016949152,Decision Tree
0.8518518518518519,0.8127090301003345,0.6501210653753027,Decision Tree
0.8571428571428572,0.8294314381270903,0.6476997578692494,Decision Tree
0.8666666666666667,0.8327759197324415,0.6464891041162227,Decision Tree
0.8777777777777779,0.8361204013377926,0.6464891041162227,Decision Tree
0.88,0.8528428093645485,0.6295399515738499,Decision Tree
0.8918918918918919,0.8528428093645485,0.6222760290556901,Decision Tree
0.9102564102564102,0.862876254180602,0.5799031476997578,Decision Tree
0.9208523592085235,0.8963210702341137,0.5411622276029056,Decision Tree
0.9285714285714286,0.9364548494983278,0.36077481840193704,Decision Tree
0.9305019305019305,0.9531772575250836,0.3595641646489104,Decision Tree
0.9359605911330049,0.979933110367893,0.27239709443099275,Decision Tree
0.9840425531914893,0.9933110367892977,0.23123486682808717,Decision Tree
1,0.9966555183946488,0.006053268765133172,Decision Tree
Inf,1,0,Decision Tree
