.threshold,specificity,sensitivity,model
-Inf,0,1,Logistic Regression
0.15216299944856881,0,1,Logistic Regression
0.15626782293041608,0.0033444816053511683,1,Logistic Regression
0.16046242256948062,0.006688963210702337,1,Logistic Regression
0.17801496884603274,0.006688963210702337,0.9987893462469734,Logistic Regression
0.17815436847259258,0.010033444816053505,0.9987893462469734,Logistic Regression
0.18755782759132567,0.013377926421404673,0.9987893462469734,Logistic Regression
0.20112357600331598,0.01672240802675584,0.9987893462469734,Logistic Regression
0.20246082718723424,0.02006688963210701,0.9987893462469734,Logistic Regression
0.20366360214586243,0.02341137123745818,0.9987893462469734,Logistic Regression
0.2060720580211176,0.026755852842809347,0.9987893462469734,Logistic Regression
0.20649635971343894,0.03344481605351168,0.9987893462469734,Logistic Regression
0.2074988356888554,0.04013377926421402,0.9987893462469734,Logistic Regression
0.2075902867551841,0.04347826086956519,0.9987893462469734,Logistic Regression
0.21142751567786489,0.04682274247491636,0.9987893462469734,Logistic Regression
0.21281502620721526,0.050167224080267525,0.9987893462469734,Logistic Regression
0.2165607930992467,0.05351170568561869,0.9987893462469734,Logistic Regression
0.2179726794644219,0.05685618729096986,0.9987893462469734,Logistic Regression
0.22256509209142272,0.06020066889632103,0.9987893462469734,Logistic Regression
0.22345382980651596,0.0635451505016722,0.9987893462469734,Logistic Regression
0.22896246656443753,0.06688963210702337,0.9987893462469734,Logistic Regression
0.2291034349842601,0.06688963210702337,0.9975786924939467,Logistic Regression
0.23357068832724193,0.07023411371237454,0.9975786924939467,Logistic Regression
0.23878053451080627,0.0735785953177257,0.9975786924939467,Logistic Regression
0.23897744933078857,0.07692307692307687,0.9975786924939467,Logistic Regression
0.2402637008386297,0.08026755852842804,0.9975786924939467,Logistic Regression
0.24060729128619152,0.08026755852842804,0.9963680387409201,Logistic Regression
0.2445480211453973,0.08361204013377932,0.9963680387409201,Logistic Regression
0.2506178566285423,0.08695652173913049,0.9951573849878934,Logistic Regression
0.2565692835823846,0.09030100334448166,0.9951573849878934,Logistic Regression
0.25675098312815214,0.09030100334448166,0.9939467312348669,Logistic Regression
0.25685710569940134,0.09364548494983282,0.9939467312348669,Logistic Regression
0.2604588601376405,0.09698996655518399,0.9939467312348669,Logistic Regression
0.26280267323281825,0.09698996655518399,0.9927360774818402,Logistic Regression
0.26665504832134834,0.10033444816053516,0.9927360774818402,Logistic Regression
0.26723857467216716,0.10367892976588633,0.9927360774818402,Logistic Regression
0.26886747023083046,0.11036789297658867,0.9927360774818402,Logistic Regression
0.2732631816558254,0.11371237458193983,0.9927360774818402,Logistic Regression
0.27344651523936514,0.117056856187291,0.9927360774818402,Logistic Regression
0.2736357677633737,0.12040133779264217,0.9927360774818402,Logistic Regression
0.2737462988762073,0.12374581939799334,0.9927360774818402,Logistic Regression
0.2781100341139049,0.1270903010033445,0.9927360774818402,Logistic Regression
0.27974361140828485,0.1270903010033445,0.9915254237288136,Logistic Regression
0.2810881151286898,0.13043478260869568,0.9903147699757869,Logistic Regression
0.281419455517148,0.13377926421404684,0.9891041162227603,Logistic Regression
0.28273646461104973,0.13377926421404684,0.9878934624697336,Logistic Regression
0.2831181591080195,0.13377926421404684,0.986682808716707,Logistic Regression
0.28612861236009957,0.137123745819398,0.986682808716707,Logistic Regression
0.2864368182217657,0.14046822742474918,0.986682808716707,Logistic Regression
0.287827421237137,0.14381270903010035,0.986682808716707,Logistic Regression
0.28802268118188135,0.14715719063545152,0.986682808716707,Logistic Regression
0.28935334447775407,0.1505016722408027,0.986682808716707,Logistic Regression
0.2928026309685109,0.15384615384615385,0.986682808716707,Logistic Regression
0.2943215342949156,0.15384615384615385,0.9854721549636803,Logistic Regression
0.29734039894937003,0.15719063545150502,0.9854721549636803,Logistic Regression
0.3022700904879516,0.1605351170568562,0.9854721549636803,Logistic Regression
0.3037560872804599,0.16387959866220736,0.9854721549636803,Logistic Regression
0.3052819365992493,0.16722408026755853,0.9854721549636803,Logistic Regression
0.3059147300847689,0.1705685618729097,0.9854721549636803,Logistic Regression
0.3112529133145957,0.18729096989966554,0.9842615012106537,Logistic Regression
0.3125183110139247,0.1906354515050167,0.9842615012106537,Logistic Regression
0.31263778805008813,0.1906354515050167,0.9830508474576272,Logistic Regression
0.31931972868474645,0.19397993311036787,0.9818401937046005,Logistic Regression
0.3194405977348741,0.19397993311036787,0.9806295399515739,Logistic Regression
0.32251272104416295,0.19397993311036787,0.9794188861985472,Logistic Regression
0.32266788972693894,0.19732441471571904,0.9794188861985472,Logistic Regression
0.3263211584419822,0.2006688963210702,0.9794188861985472,Logistic Regression
0.3265657595347442,0.20401337792642138,0.9794188861985472,Logistic Regression
0.3277524574167344,0.20735785953177255,0.9794188861985472,Logistic Regression
0.3279037778110828,0.21070234113712372,0.9794188861985472,Logistic Regression
0.3282897217073173,0.21404682274247488,0.9794188861985472,Logistic Regression
0.3297896051926551,0.21739130434782605,0.9794188861985472,Logistic Regression
0.3311408477081005,0.22073578595317722,0.9794188861985472,Logistic Regression
0.333578442561855,0.2240802675585284,0.9794188861985472,Logistic Regression
0.3337603181083527,0.22742474916387956,0.9794188861985472,Logistic Regression
0.3350547728793174,0.22742474916387956,0.9782082324455206,Logistic Regression
0.335302662140462,0.23076923076923073,0.9782082324455206,Logistic Regression
0.33746407991809746,0.23076923076923073,0.9769975786924939,Logistic Regression
0.3386059125391043,0.2341137123745819,0.9769975786924939,Logistic Regression
0.33881923156252824,0.2341137123745819,0.9757869249394673,Logistic Regression
0.34176843415127256,0.2341137123745819,0.9745762711864406,Logistic Regression
0.3420546748619915,0.2341137123745819,0.9733656174334141,Logistic Regression
0.34213726197507066,0.23745819397993306,0.9733656174334141,Logistic Regression
0.3450154249743437,0.23745819397993306,0.9721549636803875,Logistic Regression
0.3454426243500285,0.23745819397993306,0.9709443099273608,Logistic Regression
0.3456895964932154,0.24080267558528423,0.9709443099273608,Logistic Regression
0.3461618876363287,0.24749163879598657,0.9709443099273608,Logistic Regression
0.34630708051740977,0.24749163879598657,0.9697336561743342,Logistic Regression
0.34666068372809056,0.25083612040133785,0.9697336561743342,Logistic Regression
0.34740748953388145,0.254180602006689,0.9697336561743342,Logistic Regression
0.3476234391132892,0.254180602006689,0.9685230024213075,Logistic Regression
0.34916573797305284,0.254180602006689,0.9673123486682809,Logistic Regression
0.3509903192645689,0.2575250836120402,0.9673123486682809,Logistic Regression
0.3512002695343759,0.26086956521739135,0.9673123486682809,Logistic Regression
0.3513340065302347,0.2642140468227425,0.9673123486682809,Logistic Regression
0.3516781008405785,0.2675585284280937,0.9673123486682809,Logistic Regression
0.3522488357296526,0.2675585284280937,0.9661016949152542,Logistic Regression
0.3547945737539864,0.27090301003344486,0.9661016949152542,Logistic Regression
0.3554991735852814,0.27090301003344486,0.9648910411622276,Logistic Regression
0.3563580515825241,0.274247491638796,0.9648910411622276,Logistic Regression
0.3585396179907687,0.2775919732441472,0.9648910411622276,Logistic Regression
0.35933813434280926,0.28093645484949836,0.9648910411622276,Logistic Regression
0.3616594917951902,0.28093645484949836,0.9636803874092009,Logistic Regression
0.3625077274575581,0.28428093645484953,0.9636803874092009,Logistic Regression
0.36259906108464357,0.28428093645484953,0.9624697336561744,Logistic Regression
0.3634432563866429,0.2876254180602007,0.9624697336561744,Logistic Regression
0.3653305308972523,0.2876254180602007,0.9612590799031477,Logistic Regression
0.36632615315787387,0.29096989966555187,0.9612590799031477,Logistic Regression
0.3677985954305666,0.29431438127090304,0.9612590799031477,Logistic Regression
0.3680343963950423,0.2976588628762542,0.9612590799031477,Logistic Regression
0.36810034632980626,0.2976588628762542,0.9600484261501211,Logistic Regression
